address,business_name,email,numbers,website
"Kpati Napo, Jalingo, Taraba Nigeria",Nigeria Immigration Service Jalingo Taraba Nigeria,,79220788,
", , Taraba States, Nigeria",Gashaka,,,
"Jalingo, , Taraba State, Nigeria","Taraba State Arts Council Cultural Troupe  Taraba State, Nigeria",,,
"25 ,Albert Tsokwa Street, Technobat Estate, Jalingo, Taraba State, Nigeria","Zeda Sports Incorporation Jalingo Taraba State, Nigeria",,8036550727,
"221 Lamurde Road, Jalingo, Taraba, Nigeria","The Unit Innovation Jalingo Taraba, Nigeria",,8062628688,
"23 Afolahan Street GRA, Jalingo, Taraba, Nigeria","Moido Marine And Transport Service Ltd Jalingo Taraba, Nigeria",,8033129190,
"46 Hammaruwa Way, Jalingo, Taraba State, Nigeria","Taraba State Chamber of Commerce Jalingo Taraba State, Nigeria",,"80,278,384,340,803,500,000,000,000,000,000",
"1 Road Block, Jalingo, Taraba State",Smam Electronics Nigeria Ltd Jalingo Taraba State,,8073866416,
"5 Investment Quaters, Jalingo, Taraba",Shield Hotel Nigeria Ltd Jalingo Taraba,,8024241898,
"81 Azikiwe Road, Aba, Abia State",Maxivotes Aba Abia State,maxivotes@gmail.com,0703 898 5299,
"No 16 Nupe Road, GRA, Ilorin, Kwars State","Tomats Inn & Suites GRA, Ilorin Kwars State",,"0817 894 3958,0706 697 8240",
"Okanle Road, Idofian, Ifelodun, Ilorin, Kwara State","Zath International Hotel Ifelodun, Ilorin Kwara State",,"0803 714 7192,0703 427 1829,0802 747 7902",
"No 2, Bello Babatunde Street, Egbejila Road Bihind Agaka Filling Station off Asadam, Ilorin, Kwara State",Solid Worth Hotel Ilorin Kwara State,,"0813 817 2386, 0806 864 2156",
"23 Park Road, Aba, Abia State Nigeria",Graceland Amusement and Recreation Centre Aba Abia State Nigeria,,+234 803 243 3569,
"Fate Road along Shoprite, Ilorin, Kwara State Nigeria",Somewatt Fresh Hotels limited Ilorin Kwara State Nigeria,ayantoyek@gmail.com,"0806 158 3485,0803 395 5812,0803 352 9350",
"7 Gabriel Nwosu Avenue, Abayi, Aba, Abia State, Nigeria","Corporate Integrated Services Aba Abia State, Nigeria",,234-803-5441752,
"6 Nicholas Road, off Brass Junction, Aba, Abia State Nigeria",UC Travels & Tours Ltd Aba Abia State Nigeria,,"803,658,046,207,042,000,000",http://www.uctravelsandtours.com/
"5 ,Investment Quaters, Jalingo, Taraba, Nigeria","Shield Hotel Nigeria Limited Jalingo Taraba, Nigeria",,8024241898,
"Jolly.T. Nyame Way, GRA, Jalingo, Taraba State",Jalingo Hotel Jalingo Taraba State,,"079-223655,079-223476",
"GRA, Ibi Road, Wukari, Jalingo, Taraba",Elim Top Suites Jalingo Taraba,,,http://elimtopsuites.com
"Hammaruwa Way, Jalingo, Taraba, Nigeria","Apex Motel Jalingo Taraba, Nigeria",,079-23915,
"Mayo Renewo Crescent, Jalingo, Taraba State, Nigeria","Eldavido Hotels Limited Jalingo Taraba State, Nigeria",,8012106973,http://www.eldavidohotels.com/
"Immaculate Road, Aba Town, Aba, Abia State, Nigeria","Promcellyz Infotech Nigeria Limited Aba Abia State, Nigeria",,8175196279,
"121, Azikiwe Road, Aba South, Aba, Abia State, Nigeria","Sicom Computers And Communication Aba Abia State, Nigeria",,8033166161,
"No. 4b Mosque Road, Aba, Abia State",PeaceDada Communication Services Aba Abia State,,0813 298 3734,
"Umuode Village, Osisioma, Aba, Abia State, Nigeria","Emperor Computers Aba Abia State, Nigeria",,8039391819,
"31, New Umuahia Road, Aba North, Aba, Abia State, Nigeria","Dedon International Computer Aba Abia State, Nigeria",,8067970667,
"135 aba-ow road, Aba, Abia State",De Infinity Bliss Ltd Aba Abia State,deinfinitybliss@yahoo.com,"70,664,099,390,706,600,000,000,000,000,000",
"99 Hospital Road, Aba, Abia State Nigeria",Upperlink Limited Aba Abia State Nigeria,info@upperlink.ng,8037496883,https://www.upperlink.ng/
"116 Hamaruwa Way,, Jalingo, Taraba, Nigeria",Emy,,"805,059,779,308,022,000,000",
"College of Agriculture, Jalingo, Taraba, Nigeria","Crecent Mission Of Nigeria Jalingo Taraba, Nigeria",,8036542517,
"4, Family Avenue, Behind Legislators� Quarters, Jalingo, Taraba State",Women Economic Emancipation Initiative Jalingo Taraba State,info@weeinitia.org,"803,626,865,208,050,000,000",http://www.weeinitia.org/
"Gwoi Park, Mayo Gwoi, Takum, Taraba, Nigeria","New World Record International Takum Taraba, Nigeria",,"813,912,468,208,032,000,000",
"Jolly Nyame Street, Mission, Zing, Taraba, Nigeria","Magic Beat Studio Zing Taraba, Nigeria",,7030138973,
"Jalingo City Stadium, Jalingo, Taraba State, Nigeria","Taraba Football Club Jalingo Taraba State, Nigeria",,,
"42 Lamurde Road, Jalingo, Taraba, Nigeria","Alasco Music Group Jalingo Taraba, Nigeria",,"818,501,669,608,025,000,000",
"4B, Ngwa Road, Aba South, Aba, Abia State, Nigeria","Donazy Computer Services Aba Abia State, Nigeria",,8034250604,
"16 Amaruwe Way, Jalingo, Taraba, Nigeria","Sujudllahi Motors Jalingo Taraba, Nigeria",,8090935499,
"25 Ahmed Bello Way, Takum, Taraba, Nigeria","Sahelian Motors Takum Taraba, Nigeria",,"813,780,393,208,057,000,000",
"2 Abudulai Close, Jalingo, Taraba, Nigeria","Nineson Automobiles Jalingo Taraba, Nigeria",,8140723655,
"Amarua Way, Sabon Gari, Jalingo, Taraba, Nigeria","Eilamu Nigeria Ltd Jalingo Taraba, Nigeria",,8037987334,
"Opposite Coca Cola Depot, Along Mile 6, Yola Road, Jalingo, Taraba Nigeria",GUO Transport Jalingo Taraba Nigeria,feedback@guotransport.com,"0811 379 0580,0700 012 1000",https://www.guotransport.com
"Millionaire Street, G.R.A, Jalingo, Taraba, Nigeria","Mallam Mohammed Transport Services Jalingo Taraba, Nigeria",,8069049178,
"Taraba State Transport Corperation (TSTC) Yola Roa, Jalingo, Taraba, Nigeria","Benue Links Nig Limited Jalingo Taraba, Nigeria",info@benuelinks.org,"0816 776 9163,0807 467 7941",http://benuelinks.org/
"Round About Palace, Barde Way,, Jalingo, Taraba, Nigeria","A.C. Transport Co. Nig. Limited Jalingo Taraba, Nigeria",,234 4 123 556,
"Abule Street, Mayo, Jalingo, Taraba, Nigeria","Oluwasheyi Daniels Auto Jalingo Taraba, Nigeria",,8108573363,
"Taraba Airport, Jalingo, Taraba State, Nigeria","Air Taraba Jalingo Taraba State, Nigeria",,,http://www.airtaraba.com
"Shop 7 Joshua Film, Wukari, Taraba, Nigeria","Polyfornds Info Tech Solutions Wukari Taraba, Nigeria",,"708,611,910,607,066,000,000",
"No. 32 Barde Way Adjecent To Uba Bank Branch, Jalingo, Taraba Nigeria",Mby Computer Jalingo Taraba Nigeria,almansoor400@gmail.com,0813 004 5259,
"5 Opp. Fmc Gate, Jalingo, Taraba State, Nigeria","Geleans Computers Jalingo Taraba State, Nigeria",,7033347375,
"81 Hammaruwa way, 205 Nguroje house, Jalingo, Taraba State",Djemtech Systems Jalingo Taraba State,info@djemtechsystems.com.ng,0816 833 2365,
"44 Bali Road, Donga, Taraba, Nigeria","Cherish Computer Donga Taraba, Nigeria",,"708,940,355,508,083,000,000",
"1st Tarred Road, Takum, Taraba State, Nigeria","Classic Cyber World Takum Taraba State, Nigeria",,"806,949,897,508,026,000,000",
"1 Burba Street, Jalingo, Taraba, Nigeria","Ameerat Technologies Limited Jalingo Taraba, Nigeria",,"803,621,578,008,184,000,000",
"Along Wukari-Jalingo Road, Wukari, Taraba, Nigeria","Hyuku Fadama Mpcs Wukari Taraba, Nigeria",,"813,404,743,207,032,000,000",
"Nguroje House Shop 306, No. 81 Hammaruwa way, Jalingo, Taraba State",Farmfields Agro,,2.34804E+12,http://farmfieldsagro.com/
"Plot 29, Mayo-Dassa Layout, Jalingo, Taraba state, Nigeria","Ahuzzath Global Ventures Nigeria Ltd Jalingo Taraba state, Nigeria",,"+234 806 868 1488,+234 808 900 7000",http://ahuzzathglobal.com
"Near Baptist Church, Sabon Gari, Jalingo",Sauki Hospital And Maternity Sabon Gari Jalingo,,"806,914,300,708,067,000,000",
"Takum Road Bali, Bali, Taraba State, Nigeria","General Hospital Bali Bali Taraba State, Nigeria",,8083491398,
"Abuja Street, Jalingo, Taraba, Nigeria","Gateway Hospital Jalingo Taraba, Nigeria",,8037817902,
"32/36 Mayo Renewo Crescent, Jalingo, Taraba State, Nigeria","Courage Hospital Jalingo Taraba State, Nigeria",,"80,381,284,210,803,600,000,000,000,000,000",
"57 Pound Road, Jalingo, Taraba State Nigeria",Federal Medical Centre Jalingo Taraba State Nigeria,,0802 479 1687,
"18 Borno Street, Barade Ward, Jalingo, Taraba State Nigeria",City Clinics Jalingo Taraba State Nigeria,,,
"5, Donga Street, ,",Abdul Medical Centre,,079 222533,
"Government House, Jalingo, Taraba State",Youth Empowernment Initiatives Jalingo Taraba State,,,
"1 Yorro Secretariat Pantisawa, Jalingo, Taraba Nigeria",Nigeria Union Of Local Government Employees Jalingo Taraba Nigeria,,8068450340,
"53, Barde Way, Jalingo, Taraba, Nigeria","Taraba Television Corporation Jalingo Taraba, Nigeria",,"803,758,338,908,036,000,000",
"Television House, Mount Jalingo P.M.B. 1102, Jalingo, Taraba, Nigeria","Nta Jalingo Channel 6 Jalingo Taraba, Nigeria",,79223111,http://nta.com.ng/
"Station Road, Tanke, Ilorin, Kwara State","Royalton Palace Hotel Tanke, Ilorin Kwara State",,0803 950 6002,
"Kwara Polytechnic Road, Oyun Tipper Area, Adjacent Jamb Office, Ilorin, Kwara State",Royal Friendship Guest House & Garden Bar Ilorin Kwara State,,0803 701 8811,
"Tanke Akata, Ilorin, Kwara State",Royal Castle Hostel Ilorin Kwara State,,0706 085 8436,
"Plot 1 & 3 Block IX, Abati Layout, Oyun, Ilorin, Kwara State","ROTSFEJ Accommodations Oyun, Ilorin Kwara State",rotsfejventures@yahoo.com,"0803 855 2339,0805 410 2623",
"Plot 1, Odun Ade Industrial Estate Road, Odota, Ilorin, Kwara State","Pacific Crown Hotel Odota, Ilorin Kwara State",,0810 315 4081,
"5 Mayowa Street, Ilorin, Kwara State",Oyewole's Castle Ilorin Kwara State,,0816 385 0247,
"Opposite Ilorin Int'l Airport Cargo Department, Ilorin, Kwara State",Nurtw Luxury Hotel Ilorin Kwara State,,"0810 523 9529,0803 390 7460",
"24 Lafiagi Road, Ilorin, Kwara State",Murgans Lodge Ilorin Kwara State,,0803 506 9132,
"Irewolede Area, Off Cemetery Road, Ilorin, Kwara State",Liberty Point Inn Ilorin Kwara State,,0816 303 7352,
"Adeta Road, Adewole Housing Estate, Ilorin, Kwara State","International Hostel, Al",,0703 482 7227,
"Gbagba, Airport Road, Off Airforce Barracks Junction, Ilorin, Kwara State",Ilorin Airport Hotel Ilorin Kwara State,,0807 120 0017,
"No. 1 Adeshina Ramat Aboullahi Street, off Lubcon Drive, Beside Hajj Camp, Mandate Estate, Ilorin, Kwara State",Hammonds Guest Inn Ilorin Kwara State,,"0813 406 6123,0802 317 1778",
"Asekunlowo Street, Off Agbabiaka Road, Ilorin, Kwara State",Fem Chem Guest house Ilorin Kwara State,,0803 428 6116,
"Agbede, Along Old Jeba Road, Oke Oyi, Ilorin, Kwara State",El Shadai Hostel Ilorin Kwara State,,0806 447 7139,
"Stephen Fountain Street, Ilorin, Kwara State",Halbarsh Hotel Ilorin Kwara State,,0816 343 9464,
"Olohunoje Road, Off Babatunde Yinus Street, Irewolede Area, Ilorin, Kwara State","Golden Sands Hotel and Suites Irewolede Area, Ilorin Kwara State",,"0906 136 3417,0812 835 0603,0905 206 2049",
"Gaa-Akanbi, Danialu Community, Ajiboye Street, Ilorin, Kwara State",De Captains Hotels Ltd. Ilorin Kwara State,,0703 792 1251,
"No 6 Mustapha, Idi Agbede Basin Gate, Ilorin, Kwara State",Classic Chillout Ilorin Kwara State,,"0901 856 1686,0803 430 7945",
"No 5 Lafiaji Street, G.R.A, Ilorin, Kwara State",Choice Gate Hotel Ilorin Kwara State,,0803 386 9576,
"Kaduna Road, Beside Airforce Barrack, Adewole Estate, Ilorin, Kwara State",Calmcity Guest Inn Ilorin Kwara State,,0705 145 8245,
"Aguara Road, Adewole, Ilorin, Kwara State","Adezzy Guest House Adewole, Ilorin Kwara State",,0909 886 6668,
"Bolajoko Villa, Ara, Ilorin, Kwara State","Bolajoko Lodge Ara, Ilorin Kwara State",,0810 673 1662,
"Idi Ori Street, Kwara Poly Gate Road, Ilorin, Kwara State",Akewusola Villa Ilorin Kwara State,,0806 337 8050,
"Km 2, Ilorin Ajasse-Ipo Road, By Gaa Akanbi junction, Ilorin, Kwara State",The Savannah Hotel Ilorin Kwara State,info@savannahhotels.com.ng,"0818 222 0004,0903 933 2299",http://savannahhotels.com.ng/
"NNPC PipeLine Road, Opposite Gaa Akanbi Primary School, Ilorin, Kwara State",Suitoria Hotels Ilorin Kwara State,suitoria.ilorin@gmail.com,"0813 477 5009,0909 241 8616",https://suitoriahotels.com/suitoria.ilorin
"Plot 37, Along Gerewu Road, off Western Reservoir Road, Ilorin, Kwara State Nigeria",Whitefield Hotels Limited Ilorin Kwara State Nigeria,info@whitefieldhotels.com,"0803 052 0104,0818 931 7776,0805 321 3524",https://www.whitefieldhotels.com
"Along Palm's Mall (Shoprite), Fate Road, Ilorin, Kwara State",Rotana Hotel Ilorin Kwara State,info@rotana-hotel.com,"0903 969 1772,083 503 571",https://www.rotana-hotel.com/
"Plot 31, Pipeline Road, Ilorin, Kwara State Nigeria",Princess Luxury Hotel Ilorin Kwara State Nigeria,info@princessluxuryhotels.com,8163962419,http://www.princessluxuryhotels.com/
"14 & 16 Noktel Drive off Catchment Road, GRA Ilorin, Kwara, Nigeria","Noktel Resort Hotel GRA Ilorin Kwara, Nigeria",info@noktelresorts.com,"0811 111 1929,0909 284 4444",https://noktelresorts.com/
"No. 5 Ukpabi Asika Road, Off Fate Road, GRA, Ilorin, Kwara State","Millennium Nice Peak Hotel GRA, Ilorin Kwara State",sales@mnphotel.com,"0813 706 4738,0809 069 2947",http://mnphotel.com/
"Ext No 15A Pipeline Road, Ilorin, Kwara State Nigeria",GPinnacle Suites Ilorin Kwara State Nigeria,support@gpinnaclesuites.com,"0703 657 8212,0703 549 3474",https://www.gpinnaclesuites.com/
"No. 2 MCDA Block, Mile-six Jalingo, Taraba State Nigeria",Laasweett Shopping Mile,,0803 819 8232,
"No 49 Offa Road, Ilorin Kwara State Nigeria, Kwara State Nigeria",Elite Tranquil Hotel Ilorin Kwara State Nigeria Kwara State Nigeria,contactus@elitetranquilhotel.com,"0805 699 6397,0805 699 7684,0805 699 7682",http://elitetranquilhotel.com
"45, Aderemi Adeleye Street, Opp. Federal Secretariat, GRA, Ilorin, Kwara State Nigeria",E,booking@ephoenixhotel.com,"0908 487 8587,0809 774 1584",https://ephoenixhotel.com
"Low Cost Road, Jalingo, Taraba State Nigeria",Kwan Best Sunny Jalingo Taraba State Nigeria,kwanbest@gmail.com,"0703 614 2371,0814 542 3702",
"Opposite YISMAF Filling Station, Along  Numan Road, Mile six Jalingo, Taraba State Nigeria",KV Supermarket Mile six Jalingo Taraba State Nigeria,,0813 849 3811,
"Palace Way, Opposite Muwanshat Filling Station, Jalingo, Taraba State Nigeria",Denco Supermarkets Jalingo Taraba State Nigeria,,0805 262 6253,
"Shop No 3 Down StairsWui shopping Plaza Opposite Millionaires Suite, Jalingo, Taraba State Nigeria",AB2 Birani Wine Shop Jalingo Taraba State Nigeria,,"0706 612 9641,0706 165 4438",
"Roadblock Along Jalingo-Wukari Road, Jalingo, Taraba State Nigeria",Danbaba Shopping Plaza Jalingo Taraba State Nigeria,,0903 300 1715,
"New Yidi Road, Opposite Tuyil Pharmaceutical Limited, Ilorin, Kwara State",Bovina View Hotel Ilorin Kwara State,,"0816 848 4534,0703 010 8756",https://bovinahotels.com/
"A line 106 Luck Up Shop Upstairs Beside Eco Bank Ariaria Int Market, Aba, Abia Nigeria",Legend Fitness Aba Abia Nigeria,foreverlegends@yahoo.com,0806 662 2302,
"Ariaria International Market, Aba, Abia Nigeria",God'swill Garment Aba Abia Nigeria,,0906 485 8534,
"175 Cameroun Road, Aba, Abia Nigeria",BYC Shop Aba Abia Nigeria,,0706 480 8000,
"158 Cameroon Road, Aba, Abia State Nigeria",Enyimba Football Club Aba Abia State Nigeria,,"8,055,551,180,082,230,000",https://enyimbafc.net/
"157A Ariara International Market, E Line, Aba, Abia State Nigeria",Joerex Sports Aba Abia State Nigeria,,"702,851,919,408,090,000,000",http://joerexsports.com/
"Ehere Ogbor Hill Aba, Aba, Abia State",Gleamcity Football Academy Aba Abia State,inquiry@gleamcityfa.com,0706 209 4336,https://gleamcityfa.com
"49/50 Omenazu Avenue, Obiaba Training Ground, Osusu Road, Aba, Abia State Nigeria",ObiAba Football Academy Aba Abia State Nigeria,info@obiabafootballacademy.com,,http://www.obiabafootballacademy.com/
"Azikiwe Road, Aba, Abia State, Nigeria","Smiyk  Art Aba Abia State, Nigeria",,7064804946,
"Isaac Jasper Adaka Boro Expressway, Baybridge Junction, Kpansia Yenagoa, Bayelsa Nigeria",A to Z Mall Kpansia Yenagoa Bayelsa Nigeria,info@atozmall.ng,"0810 377 4232,0802 361 2322",
"Block B, Joycee Plaza, Otiotio Road, Yenagoa, Bayelsa State",Tarakiri Cluster Development Foundation Yenagoa Bayelsa State,info@tarakiriclusterfoundation.org,0803 050 5690,
"601, Melford-Okilo Road, Yenagoa, Bayelsa State Nigeria",The Food Shop Yenagoa Bayelsa State Nigeria,Info@thefoodshop.com.ng,0818 735 3695,https://thefoodshop.com.ng
"68 Dimrose Road, Biogbolo Yenagoa, Bayelsa State Nigeria",Tera Private School Biogbolo Yenagoa Bayelsa State Nigeria,teraprivateschool@gmail.com,"0806 025 9935,0802 825 2531",
"Prosco Road, Okaka Yenagoa, Bayelsa State, Nigeria","Carlrose Education Foundation Okaka Yenagoa Bayelsa State, Nigeria",carlroseeducationfoundation@gmail.com,"0803 880 3558,0816 683 4600,0810 307 8641",
"Akpan Horgan Ekpo Street, Uyo, Akwa Ibom",The Nigeria Police Divisional Headquarters 'E' Division Uyo Akwa Ibom,,0805 102 6255,
"Police Headquarters Road, Opposite Federal Medical Centre, Yenagoa, Bayeksa State",JAMB Office Yenagoa Bayeksa State,,0807 905 4965,https://jamb.gov.ng/
"Myrtle Crescent Off Isaac Boro Expressway, Yenizue Gene Yenagoa, Bayelsa State Nigeria",Myrtle International School Yenizue Gene Yenagoa Bayelsa State Nigeria,info@myrtleschools.com,"0816 139 5175,0805 673 0310",https://www.myrtleschool.com/
"Oxbow Lake, Swali, Yenagoa, Bayelsa State","Rhythm 94.7 FM Swali, Yenagoa Bayelsa State",thugele37@gmail.com,"0806 412 8252,0803 866 7664,0806 032 1341",
"Near Ifa Ikot Okpon, Etoi, Uyo, Akwa Ibom State",Xty Provision and Household Shop Uyo Akwa Ibom State,,0808 681 5057,
"No 116 Oron Road, Uyo, Akwa Ibom State,Nigeria","L&T Superstore Uyo Akwa Ibom State,Nigeria",,0812 268 7816,http://superstores.ltgroup.org/
"Abak,Akwa Ibom, Uyo, Akwa Ibom State",Xclusive Snail Farm Uyo Akwa Ibom State,xclusivesnailfarm@yahoo.com,0907 618 0213,
"No 1 Apico Road, Before Shelter Junction, opp. Landmark Supermarket, Mbiabong,Uyo, Akwa Ibom Nigeria","Waxymike Poultry Farm Mbiabong,Uyo Akwa Ibom Nigeria",,0806 087 2521,
"No 1 Noel Nduka Close, Uyo, Akwa Ibom Nigeria",Pivot Farms Ltd Uyo Akwa Ibom Nigeria,,0803 473 1462,
"152 Aka-Etinan Road, Uyo, Akwa Ibom Nigeria",Victory Livestock Services Company Uyo Akwa Ibom Nigeria,info@victorylivestock.com,"0802 355 9393,0819 142 8600",
"Odiok Itam, Itu LGA., Uyo, Akwa Ibom",Maren Agric Services Uyo Akwa Ibom,,0803 789 9704,
"Nwaniba Road, Uyo, Akwa Ibom State",John,,0803 541 7233,
"No 1 Kevin Street, Uyo, Akwa Ibom Nigeria",Savvy Travels And Tours Uyo Akwa Ibom Nigeria,,"0815 231 0526,0803 484 3022,0703 283 6833",
"162 Ikot Ekpene Road, Uyo, Akwa Ibom Nigeria",G,gideonservice@gmail.com,0903 843 8182,
"Obio Imo Street by Udo Umana, Uyo, Akwa Ibom Nigeria",Discovery Park Uyo Akwa Ibom Nigeria,,0806 518 8616,
"17B Ikot Okubo Street, Uyo, Akwa Ibom Nigeria",Osolife Poultry Farms Uyo Akwa Ibom Nigeria,,"0806 327 6487,0803 568 9356",
"Nagwamatsa Plaza, Brighter Junction Western Bypass, Tunga Minna, Niger State Nigeria",Timranpels Collections Tunga Minna Niger State Nigeria,, 0803 598 6858,
"Nwaniba Road, Uyo, Akwa-Ibom Nigeria",Le,,"0808 052 7411,0708 066 0000",http://www.ibomgolfresort.com/sports&leisure
"Tunga Market David Mark Road, Tunga Minna, Niger State Nigeria",So Fine Superstore Tunga Minna Niger State Nigeria,,"0803 599 3653,0803 599 0952",
"No B50 T.Y Plastics Nig. Ltd, Gidan Madara Behind Minna Trade Fair Complex,, Chanchaga Minna, Niger State Nigeria",Shop Best Chanchaga Minna Niger State Nigeria,,0706 581 3865,
"No 41 Shiroro Road, Tudun Wada Minna, Niger State Nigeria",New Creation Supermarket Tudun Wada Minna Niger State Nigeria,,"0817 656 8182,0705 252 5510",
"Minna - Zungeru Road, Minna, Niger State Nigeria",Nanakhadija Provision Store Minna Niger State Nigeria,,0813 210 2919,
"Bosso Low Cost, Minna, Niger State Nigeria",Mamsy's Corner Minna Niger State Nigeria,,0706 562 7350,
"Tudun Wada Road, Minna South, Niger State Nigeria",Prestige Supermarket Minna South Niger State Nigeria,,0703 559 8565,
"Shop 11B Babaya Plaza, Opposite 1st El-Shabab Filling Station, Western ByePass Minna, Niger State Nigeria",Housemate Enterprise Western ByePass Minna Niger State Nigeria,,0803 845 6929,
"No 1 GRA Jumction, Kontagota Minna, Niger State Nigeria",Andrea Stores Kontagota Minna Niger State Nigeria,,0706 445 5372,
"Shop 6 Yusuf Kolawole Road, Beside Yanna Hotels, Tunga Minna, Niger State Nigeria",Ahyan's Collection Tunga Minna Niger State Nigeria,,"0815 312 7005,0701 903 9498,0803 089 6377",
"24, Wellington Bassey Way, Uyo, Akwa Ibom",Wallcord Uyo Akwa Ibom,info.wallcord@gmail.com,0806 788 0808,
"London Road, Bosso, Minna, Niger State Nigeria","Adefunky Grocery Store Bosso, Minna Niger State Nigeria",,0802 306 7092,
"111, Abak Road, Uyo, Akwa Ibom",USC Technologies Global Uyo Akwa Ibom,usctechgloballtd@gmail.com,"0809 421 4540,0803 571 1284,0805 979 9295",
"No 21 Ikpa Road, Uyo, Akwa Ibom State, Nigeria","UkataTech Uyo Akwa Ibom State, Nigeria",,0703 988 5501,
"15 Ikpa Road (1st & 3rd floor), Opposite UNIUYO, 2nd Mini-Gate, Uyo, Akwa Ibom Nigeria",Tonycon Resources Ltd Uyo Akwa Ibom Nigeria,tonyconresources@yahoo.com,"0806 753 6756,0803 563 0709",
"Enterprise Hub (AMAECOM BUILDING), Williams Street off Aka Road, Uyo, Akwa Ibom State",Techfields Digital Lab Uyo Akwa Ibom State,contact@techfieldsdigital.com,"0806 260 9302,0802 468 8261",
"Udo Ekpo Inyang Street, Off Aka Road, Uyo, Akwa Ibom",Sammytex Global Technology Uyo Akwa Ibom,,"0803 375 9236,0902 914 1953",
"Opposite transossa filling station, Nnung Mkpe, Obio Offot, Abak road Uyo, Uyo, Akwaibom",Prinzzy Enterprise Uyo Akwaibom,ettebommbat247@gmail.com,8082073473,
"No.44 Udoumana street, Uyo, Akwa Ibom",Portalinks Uyo Akwa Ibom,isabasbassey@gmail.com,"0902 810 7662,0903 972 2869",
"No 57 Abak Road, Uyo, Akwa Ibom Nigeria",Onward Computers Uyo Akwa Ibom Nigeria,,0803 437 3740,
"#12  Aka Road., Uyo, Akwa Ibom State",Oniontabs Uyo Akwa Ibom State,oniontabs@gmail.com,"90,992,102,880,703,800,000,000,000,000,000",
"188 Ikpa Road, By Uyo City Polytechnic, Uduetong-Oku, Uyo, Akwa Ibom State",Leopat Global Resources Uduetong,,0803 487 8186,
"75 Ekpri Nsukara Road, Afaha Offot, Uyo, Akwa Ibom State","Jhnsin Technologies Limited Afaha Offot, Uyo Akwa Ibom State",,0703 979 1011,
"65 Hospital Road, Ituk Mbang, Uyo, Akwa Ibom Nigeria",Impress Globalink Computer Services Uyo Akwa Ibom Nigeria,,"0803 564 5593,0802 468 1553",
"47 Ikpa Road, Uyo, Akwa Ibom",Caddsoft Tech Academy Uyo Akwa Ibom,caddsofttechlimited@gmail.com,"0903 286 9997,0907 639 8775",
"No 23 Ikot Ekpene Road, Uyo, Akwa Ibom Nigeria",Flemz Concepts Uyo Akwa Ibom Nigeria,,"0806 0791 484,0905 800 0081",
"Ikot Ekpene - Uyo Road, Uyo, Akwa Ibom",Elijah's Business Center Uyo Akwa Ibom,,0706 732 1612,
"28b Itu Road, Uyo, Akwa Ibom State",Anitech Computer Skills Uyo Akwa Ibom State,anitechcomputer@yahoo.com,0802 494 6389,
"42 lkot Ekpene Rd Uyo, Akwa Ibom state, Nigeria, Uyo, Akwa Ibom Nigeria",AB Computer Solution Uyo Akwa Ibom Nigeria,abcomputersolutionz@gmail.com,"0813 587 3883,0812 200 3523",
"69 Abak Road, Uyo, Akwa Ibom State, Uyo, Akwa Ibom",SpringLight Technology Uyo Akwa Ibom,training@springlight.ng,"0813 272 2283,0703 299 5550",http://academy.springlight.ng/
"114, Abak Road, Uyo, Akwa Ibom Nigeria",Tedikom Wireless Limited Uyo Akwa Ibom Nigeria,info@tedikomwireless.com,"0803 566 4618,0703 683 9119,0818 321 8611",http://www.tedikomwireless.com/
"Suite 304-305, 3rd Floor, Ibom eLibrary Complex, IBB Avenue, Uyo, Akwa Ibom State",Start Innovation Hub Nigeria Uyo Akwa Ibom State,email@starthub.com.ng,0909 000 9216,http://www.starthub.com.ng/
"60 Enwe Street, By Oron road, Uyo, Akwa Ibom",Nanosoft Technology Uyo Akwa Ibom,hello@nanosofttechnology.com,+234 808 404 5277,http://www.nanosofttechnology.com/
"180 Aka Road, Uyo, Akwa Ibom Nigeria",IBBIL Computers Uyo Akwa Ibom Nigeria,info@ibbilcomputers.com,"0701 039 3733,0701 039 4828,0708 543 4434",http://ibbilcomputers.com/
"302 Nwaniba Road, Uyo, Akwa Ibom, Nigeria","Manful Computer Institute Uyo Akwa Ibom, Nigeria",manfulict@gmail.com,"0803 799 2436,0708 992 4137",http://www.manfulict.com
"42 Ikot Ekpene Road, Uyo, Akwa Ibom",Albanny Technologies Uyo Akwa Ibom,pardyalbert@gmail.com,0802 750 4524,
"10, Ikpedip street off Urua Ekpa road, Uyo, Akwa Ibom State",Enteetech Uyo Akwa Ibom State,admin@enteetech.com.ng,0813 461 3464,http://enteetech.com.ng/
"280 Oron Road, Uyo, Akwa Ibom",Codemint Uyo Akwa Ibom,codemintbox@gmail.com,"0906 451 7926,0812 110 1801",https://codemint.net/
"19 Aka Road(Nokia House), Akwa Ibom State, Nigeria",Aptech Uyo Center Akwa Ibom State Nigeria,uyo@aptech-ng.com,"0704 124 0311,0809 382 4065",http://www.aptech-ng.com
"Computer Plaza 9 Ikot Ekpene Road, Uyo, Akwa Ibom State Nigeria",Applause Computers Ltd Uyo Akwa Ibom State Nigeria,info@applausecomputers.com,"0803 237 1019,0802 584 0559",http://applausecomputers.com/
"31 Obio Imoh street, Uyo, Akwa ibom",Samero Logistics and Tours Uyo Akwa ibom,samerologisticsandtours@gmail.com,"0806 485 1113,0907 322 2216",
